# Kaggle's tag vocabulary, from Meta Kaggle (kaggle/meta-kaggle, Tags.csv).
# A keyword outside this list is silently dropped at push time: the CLI prints
# 'not valid tags and could not be added' and the upload otherwise succeeds.
# Refresh: kaggle datasets download kaggle/meta-kaggle -f Tags.csv --unzip
name	slug	kernel_count	dataset_count
pashto, pushto	pashto-pushto	5	13
packages	packages	4	4
resnet v1 101	resnet-v1-101	4	2
mobilebert	mobilebert	4	0
albanian	albanian	4	13
keywordspottingnet	keywordspottingnet	4	3
text-to-mel	text-to-mel	4	3
aragonese	aragonese	4	4
resnet101-v2	resnet101-v2	4	0
factuality and grounding	factuality-and-grounding	4	11
resnet v2 152	resnet-v2-152	4	0
condconv	condconv	4	2
punjabi	punjabi	4	7
croatian	croatian	4	6
burmese	burmese	4	20
deeplab (mobilenetv3_large_cityscapes_trainfine)	deeplab-mobilenetv3-large-cityscapes-trainfine	4	4
gelu	gelu	4	0
mobilenetv3	mobilenetv3	4	3
malayalam	malayalam	4	14
transformer xl	transformer-xl	4	0
akan	akan	4	1
efficient channel attention	efficient-channel-attention	4	0
greenland	greenland	4	15
danish	danish	4	12
deeplab (mobilenetv2_ade20k_train)	deeplab-mobilenetv2-ade20k-train	3	3
elmo	elmo	3	1
mongolian	mongolian	3	4
split attention	split-attention	3	0
efficientnet-b5	efficientnet-b5	3	0
efficientnet-b1	efficientnet-b1	3	0
inception-v3 module	inception-v3-module	3	0
serbian	serbian	3	13
sanskrit	sanskrit	3	18
resnet-152	resnet-152	3	1
central khmer	central-khmer	3	3
centernet	centernet	3	2
deeplab (xception65_coco_voc_trainaug)	deeplab-xception65-coco-voc-trainaug	3	0
tagalog	tagalog	3	9
depthwise separable convolution	depthwise-separable-convolution	3	2
reduction-a	reduction-a	3	0
mobilenet v1	mobilenet-v1	3	0
ears and hearing	eyes-and-vision	3	7
opt	opt	3	1
imagenet 2012 classification	imagenet-2012-classification	3	8
socrata	socrata	3	1105
ssd spaghettinet edgetpu large	ssd-spaghettinet-edgetpu-large	2	0
relu6	relu6	2	0
fijian	fijian	2	0
oromo	oromo	2	20
fastdepth	fastdepth	2	2
multilingual and cross-lingual capabilities	multilingual-and-cross-lingual-capabilities	2	21
abkhazian	abkhazian	2	3
afar	afar	2	4
deeplab (xception65_ade20k_train)	deeplab-xception65-ade20k-train	2	1
flemish	flemish	2	0
transformer in transformer	transformer-in-transformer	2	0
marathi	marathi	2	20
belarusian	belarusian	2	6
deeplab (xception65_cityscapes_trainfine)	deeplab-xception65-cityscapes-trainfine	2	0
romanian	romanian	2	39
resnet v2 101	resnet-v2-101	2	1
resnet v1 152	resnet-v1-152	2	1
dense block	dense-block	2	0
i3d	i3d	2	7
swedish	swedish	2	11
bigan	bigan	2	4
pitch extraction	pitch-extraction	2	2
bigbigan	bigbigan	2	1
nnlm	nnlm	2	0
tsm resnet50	tsm-resnet50	2	0
resnet50x3-v2	resnet50x3-v2	2	0
mobilebert edgetpu small	mobilebert-edgetpu-small	2	2
hebrew	hebrew	2	15
bottleneck residual block	bottleneck-residual-block	1	1
efficientdet	efficientdet	1	2
delf	delf	1	0
basque	basque	1	0
movinet	movinet	1	13
pnasnet-5 (large)	pnasnet-5-large	1	0
welsh	welsh	1	0
sindhi	sindhi	1	11
quechua	quechua	1	4
dla bottleneck residual block	dla-bottleneck-residual-block	1	0
yiddish	yiddish	1	0
venda	venda	1	0
avaric	avaric	1	0
wrn-106	wrn-106	1	0
video-swin-transformer	video-swin-transformer	1	3
regnetx	regnetx	1	0
wide-resnet-40-8	wide-resnet-40-8	1	0
videoflow	videoflow	1	1
xcit	xcit	1	1
fcos	fcos	1	0
swahili	swahili	1	12
castilian	castilian	1	5
ssd mobilenet v2 fpn	ssd-mobilenet-v2-fpn	1	0
tnt	tnt	1	0
mosaic	mosaic	1	1
efficientnet-b6	efficientnet-b6	1	0
